,,Uruguay, 197 , 194 , 188 , 203 , 194 , 221 , 226 , 205 , 199 , 267 , 260 , 268 , 289 ,5.92,5.84,5.65,6.09,5.81,6.60,6.72,6.08,5.88,7.86,7.63,7.84,8.42
,,Venezuela (Bolivarian Republic of)," 11,342 "," 9,719 "," 9,964 "," 12,257 "," 13,156 "," 14,589 "," 13,985 "," 13,080 "," 14,098 "," 16,072 ",," 19,030 "," 17,778 ",43.86,36.93,37.22,45.03,47.54,51.89,48.97,45.11,47.91,53.83,,62.00,57.15
,Central America,Belize, 67 , 79 , 81 , 92 , 97 , 103 , 194 , 129 , 124 , 145 , 99 , 121 ,,24.89,28.61,28.59,31.64,32.51,33.64,61.80,40.11,37.67,43.06,28.76,34.40,
,,Costa Rica, 300 , 280 , 335 , 351 , 369 , 512 , 525 , 527 , 474 , 407 , 411 , 477 , 566 ,7.27,6.69,7.89,8.15,8.44,11.56,11.70,11.59,10.30,8.74,8.73,10.03,11.77
,,El Salvador," 2,197 "," 2,773 "," 3,778 "," 3,928 "," 3,497 "," 3,179 "," 4,382 "," 3,987 "," 4,371 "," 2,594 "," 2,513 "," 3,921 "," 6,656 ",37.23,46.80,63.53,65.82,58.42,52.95,72.77,66.03,72.19,42.72,41.27,64.20,108.64
,,Guatemala," 4,237 "," 4,507 ",," 5,885 "," 5,781 "," 6,292 "," 6,498 "," 5,960 "," 5,681 "," 5,155 "," 5,253 "," 4,998 ",,33.70,35.00,,43.62,41.90,44.60,45.07,40.46,37.75,33.54,33.48,31.21,
,,Honduras," 4,073 "," 3,639 "," 3,212 "," 3,118 "," 3,588 "," 4,455 "," 5,280 "," 6,236 "," 7,104 "," 7,172 "," 6,431 "," 5,936 "," 5,148 ",61.47,53.88,46.68,44.50,50.30,61.37,71.51,83.10,93.21,92.71,81.93,74.56,63.75
,,Mexico," 10,087 "," 9,329 "," 9,921 "," 10,452 "," 8,867 "," 14,006 "," 19,803 "," 25,757 "," 27,213 "," 25,967 "," 23,063 "," 20,010 "," 20,762 ",9.44,8.62,9.04,9.38,7.84,12.18,16.95,21.71,22.61,21.27,18.64,15.96,16.35
,,Nicaragua, 635 , 646 , 729 , 722 , 714 , 736 , 802 , 785 , 738 , 675 ,,,,12.12,12.17,13.55,13.25,12.93,13.16,14.15,13.68,12.71,11.49,,,
,,Panama, 338 , 308 , 364 , 371 , 444 , 654 , 818 , 759 , 759 , 654 , 663 , 568 , 447 ,10.55,9.45,10.97,10.98,12.91,18.69,22.98,20.96,20.61,17.47,17.42,14.69,11.38
Asia,Central Asia,Kyrgyzstan, 421 , 420 , 419 , 422 , 426 , 429 , 419 ," 1,072 ", 494 , 301 , 206 , 216 , 304 ,8.34,8.27,8.19,8.17,8.15,8.09,7.79,19.62,8.89,5.33,3.59,3.70,5.12
,,Tajikistan,,,, 213 , 155 , 118 , 131 , 155 , 149 , 106 , 117 ,,,0.00,,,3.06,2.18,1.63,1.77,2.04,1.92,1.34,1.44,,
,,Turkmenistan,,, 231 ,,,,, 229 ,,,,, 225 ,0.00,,4.87,,,,,4.54,,,,,4.20
,,Uzbekistan,,, 926 ,,,,, 894 ,,,,, 893 ,0.00,,3.57,,,,,3.22,,,,,2.99
,,Kazakhstan*," 1,991 "," 2,091 "," 1,804 "," 1,729 "," 1,656 "," 1,807 "," 1,771 "," 1,397 "," 1,420 "," 1,266 "," 1,120 ", 904 , 853 ,13.15,13.67,11.68,11.08,10.51,11.35,11.00,8.56,8.58,7.53,6.55,5.20,4.84
,Eastern Asia,China," 24,393 "," 24,711 "," 20,770 "," 17,973 "," 16,119 "," 14,811 "," 14,667 "," 13,410 "," 12,015 "," 11,286 "," 10,640 "," 10,083 ",,1.89,1.90,1.59,1.37,1.22,1.12,1.10,1.00,0.89,0.83,0.78,0.74,
,,"China, Hong Kong Special Administrative Region", 52 , 45 , 34 , 35 , 18 , 36 , 47 , 35 , 17 , 27 , 62 , 27 , 22 ,0.76,0.66,0.50,0.51,0.26,0.52,0.68,0.50,0.24,0.38,0.87,0.37,0.30
,,"China, Macao Special Administrative Region", 13 , 10 , 7 , 11 , 11 , 4 , 6 , 2 , 4 , 4 , 1 , -   , 1 ,2.88,2.18,1.50,2.29,2.23,0.79,1.15,0.37,0.73,0.72,0.18,0.00,0.17
,,Democratic People's Republic of Korea,,," 1,206 ",,,,," 1,179 ",,,,," 1,110 ",0.00,,5.07,,,,,4.81,,,,,4.41
,,Japan, 697 , 699 , 643 , 619 , 574 , 646 , 506 , 465 , 442 , 428 , 370 , 395 ,,0.55,0.55,0.51,0.49,0.45,0.51,0.40,0.37,0.35,0.34,0.29,0.31,
,,Mongolia, 343 , 333 , 398 , 336 , 293 , 212 , 219 , 239 , 266 , 199 , 208 , 218 , 214 ,13.89,13.34,15.75,13.13,11.30,8.06,8.20,8.81,9.64,7.09,7.27,7.49,7.23
,,Republic of Korea,,,,,,,,, 427 , 411 , 342 , 372 ,,0.00,,,,,,,,0.87,0.83,0.69,0.74,
,,Taiwan Province of China,,,, 228 , 176 , 191 , 181 , 179 ,, 179 , 168 ,, 192 ,0.00,,,1.00,0.77,0.83,0.78,0.77,,0.77,0.72,,0.82
,South-Eastern Asia,Brunei Darussalam, 3 , 2 , 2 , 3 , 3 , 1 , 3 , 1 ,,, 2 ,,,0.86,0.56,0.55,0.81,0.80,0.26,0.78,0.25,,,0.49,,
,,Cambodia, 509 , 511 , 448 , 450 , 458 , 343 , 353 , 331 , 268 ,,,,,3.95,3.90,3.36,3.33,3.34,2.46,2.50,2.30,1.84,,,,
,,Indonesia," 1,635 "," 1,419 ",,,," 1,372 "," 1,311 "," 1,058 "," 1,467 "," 1,456 "," 1,386 "," 1,277 ",,0.74,0.64,,,,0.58,0.55,0.44,0.60,0.59,0.55,0.50,
