Maldives,,,,,17,80,41,29,18,12,34,,,,,,,5.39,24.92,12.55,8.72,5.32,3.48,9.68,,
Armenia,,729,811,"1,015",920,"1,098","1,074","1,250",984,"1,097","1,365","1,492","1,435",,24.09,26.9,33.81,30.79,36.91,36.21,42.18,33.15,36.83,45.62,49.63,47.55
Azerbaijan,,,,,8,11,28,34,281,228,287,358,,,,,,0.09,0.12,0.31,0.37,3.05,2.44,3.02,3.72,
Bahrain,,,,,"2,494","2,479",,,,,,,,,,,,242.95,222.18,,,,,,,
Cyprus,,,,,,,,,"1,961","2,010","1,785","1,625","1,362",,,,,,,,,175.62,177.99,156.35,140.86,116.88
Georgia,,"3,680","4,578","5,017","2,684","2,347","1,860","1,552",,,,"1,557",,,81.34,102.3,113.27,61.2,54.04,43.27,36.52,,,,38.59,
Israel,,"39,807","43,100","41,839","37,914","32,838",,"26,821","25,035",,,,,,615.25,652.67,619.39,547.83,462.91,,361.45,331,,,,
Jordan,,,,,"1,811","1,605","2,022","1,488","2,874","2,731",,,,,,,,31.44,26.71,32.26,22.83,42.51,39.05,,,
Kuwait,,249,232,253,257,279,256,,,,,,,,11.49,10.25,10.59,10.12,10.31,8.89,,,,,,
Oman,,,,,806,987,,,,,,,,,,,,31.07,37.21,,,,,,,
Syrian Arab Republic,,,,,"3,241","3,346",,,,,,,,,,,,16.68,16.65,,,,,,,
Turkey,"31,971","36,639","57,389","89,334","46,985","40,065","44,244","46,493","47,532","54,179",,,,48.4,54.71,84.57,130.03,67.59,56.96,62.09,64.3,64.65,72.38,,,
United Arab Emirates,,,,,,,,,,"2,900","1,769",584,565,,,,,,,,,,32.39,19.57,6.43,6.17
Yemen,,,"1,350","1,477","1,436","1,530","1,388",,,,,,,,,6.58,7,6.62,6.85,6.05,,,,,,
Belarus,,,,,"31,500","26,451","24,464","21,645","19,908","16,680","14,800","13,129",,,,,,329.63,277.66,257.37,228.03,209.83,175.75,155.83,138.19,
Bulgaria,"8,939","7,777","7,232","7,885","7,193","6,745","7,963","8,338","6,558","6,456","6,396","5,345","4,433",114.53,100.44,94.13,103.42,95.04,89.77,106.74,112.56,89.16,88.39,88.19,74.22,62
Czech Republic,"12,163","11,670","10,361","9,603","9,163","9,111","9,616","10,091","9,568","9,718","11,117","8,877","6,895",119.11,114.28,101.27,93.49,88.7,87.62,91.93,96.04,90.83,92.16,105.42,84.2,65.4
Hungary,"19,366","18,671","17,786","16,856","17,415","19,239","17,625","19,866","21,072","22,587","22,665","24,123",,190.96,184.55,176.17,167.25,173.04,191.42,175.64,198.37,210.96,226.82,228.37,243.92,
Poland,,,,,"23,048","20,892","22,194","24,123","25,544","26,825","22,881","12,563","11,415",,,,,59.86,54.23,57.57,62.54,66.19,69.48,59.25,32.53,29.56
Republic of Moldova,,,"2,583","1,834","1,327","1,108","1,089","1,921","2,111","1,952","2,642","2,794",,,,62.13,44.25,32.14,26.95,26.59,47.03,51.77,47.9,64.85,68.61,
Russian Federation,,"281,723","297,511","267,932","250,163","206,706","184,473","154,958","129,581","114,107","100,624","94,783","94,936",,195.58,207.15,186.92,174.72,144.43,128.89,108.24,90.48,79.63,70.19,66.08,66.18
Slovakia,,,,"2,602","2,437","2,118","2,330","1,876","1,714","1,742","1,705","1,525","1,924",,,,48.29,45.2,39.25,43.13,34.7,31.67,32.17,31.46,28.12,35.46
Ukraine,"67,382","69,206","56,567","39,207","32,954","27,870","38,442","38,801",,,,,,141.88,146.85,120.88,84.31,71.25,60.55,83.88,85,,,,,
Romania*,,,,,,"10,285","11,574","14,197","16,311","15,292","15,085","25,592","15,115",,,,,,49.59,56.43,69.94,81.1,76.67,76.21,130.23,77.47
Denmark,,,,,,"44,015","48,745","62,450","63,390","57,927","56,526","50,646","45,726",,,,,,800.96,882.46,"1,125.03","1,136.72","1,034.23","1,005.03",896.88,806.59
Estonia,,,,,"3,096","3,321","3,027","3,196","2,792","2,718","2,132","2,072","1,662",,,,,230.32,247.85,226.57,239.92,210.23,205.28,161.51,157.42,126.62
Finland,"7,373","7,901","7,281","5,923","6,532","5,978","6,497","6,453","6,672","6,281","5,749","6,363","5,985",141.41,151.1,138.78,112.46,123.49,112.49,121.66,120.22,123.65,115.79,105.43,116.12,108.75
Iceland,,,,,,,968,941,613,453,382,389,402,,,,,,,307.95,295.87,190.95,140.07,117.4,118.84,122.03
Lithuania,"8,573","9,174","7,065","6,637","5,516","6,076","5,799","4,905","4,081","3,526","3,265","3,342","2,999",251.7,271.68,211.32,200.78,168.98,188.71,182.79,157.07,132.91,116.89,110.16,114.58,104.19
