,,Thailand,,," 20,343 "," 23,319 ",,,," 18,607 "," 14,545 "," 14,612 "," 12,380 "," 11,279 "," 10,024 ",,,30.89,35.24,,,,27.90,21.74,21.76,18.35,16.65,14.75
,,Philippines*,,,," 2,096 "," 1,714 "," 1,673 "," 1,879 "," 8,656 "," 8,715 "," 6,919 "," 12,341 "," 13,284 ",,,,,2.39,1.93,1.85,2.05,9.30,9.22,7.21,12.65,13.40,
,Southern Asia,Bangladesh,,," 1,061 "," 1,061 ",,,,,,,,,,,,0.74,0.73,,,,,,,,,
,,India,," 80,682 "," 85,709 "," 90,951 "," 100,255 "," 120,032 "," 140,027 "," 147,475 "," 151,200 "," 154,351 "," 165,690 ",,,,7.16,7.49,7.83,8.50,10.03,11.53,11.98,12.12,12.22,12.95,,
,,Iran (Islamic Republic of)," 81,075 "," 94,413 ",,,,,,,,,,,,118.32,136.19,,,,,,,,,,,
,,Maldives, 261 , 316 ,,, 304 , 813 , 578 , 618 , 802 ," 1,236 ", 890 ,,,88.48,105.36,,,96.35,253.25,176.91,185.82,236.85,358.45,253.48,,
,,Nepal,,, 26 , 17 ,,,,,,,,,,,,0.10,0.07,,,,,,,,,
,,Sri Lanka, 752 , 822 ,,,," 1,301 "," 1,427 "," 1,693 "," 1,410 "," 1,374 "," 1,326 ",,,3.91,4.24,,,,6.52,7.11,8.38,6.94,6.73,6.46,,
,Western Asia,Armenia, 124 , 127 , 96 , 131 , 137 , 66 , 54 , 60 , 53 , 61 , 51 , 51 , 57 ,4.08,4.20,3.18,4.36,4.58,2.22,1.82,2.02,1.79,2.05,1.70,1.70,1.89
,,Bahrain,,," 3,030 "," 2,151 "," 1,185 "," 1,094 ",,,,,,,,,,349.48,228.63,115.43,98.05,,,,,,,
,,Cyprus,,," 1,610 "," 1,780 "," 2,025 "," 1,786 "," 1,627 "," 1,705 "," 1,783 "," 1,749 "," 1,317 "," 1,187 ", 961 ,,,155.92,169.80,190.49,165.83,149.20,154.48,159.67,154.87,115.36,102.89,82.47
,,Georgia, 743 ," 1,784 ", 283 , 181 , 43 ,,,,,,,,,16.24,39.43,6.32,4.09,0.98,,,,,,,,
,,Israel,," 30,850 "," 34,795 "," 34,448 "," 31,041 "," 25,687 "," 22,113 "," 20,333 "," 20,974 ",,,,,,476.81,526.90,509.98,448.52,362.10,304.46,274.02,277.31,,,,
,,Jordan,,," 3,006 "," 2,438 "," 2,819 "," 3,037 "," 2,618 "," 2,589 "," 4,348 "," 4,908 ",,,,,,56.37,44.09,48.95,50.53,41.78,39.72,64.32,70.17,,,
,,Kuwait,, 6 , 7 , 4 , 10 , 6 , 45 ,,,,,,,,0.28,0.31,0.17,0.39,0.22,1.56,,,,,,
,,Lebanon,,,,,," 7,528 "," 9,268 "," 9,421 "," 10,479 "," 13,008 "," 13,152 "," 10,059 "," 8,896 ",,,,,,183.19,221.63,217.22,228.22,264.16,248.76,179.24,152.05
,,Oman,,,,, 179 , 177 ,,,,,,,,,,,,6.90,6.67,,,,,,,
,,Qatar, 65 , 63 , 187 , 131 ,,,,,,,,,,9.73,8.61,22.34,13.25,,,,,,,,,
,,State of Palestine, 181 , 385 , 286 ,,,,,,,,,,,5.26,10.98,7.99,,,,,,,,,,
,,Syrian Arab Republic, 529 , 572 , 645 , 882 , 714 , 912 ,,,,,,,,3.06,3.24,3.56,4.71,3.68,4.54,,,,,,,
,,Turkey," 25,443 "," 25,667 "," 33,344 "," 33,091 "," 24,185 "," 29,500 "," 30,171 "," 28,359 "," 27,465 "," 31,013 ",,,,38.51,38.32,49.14,48.16,34.79,41.94,42.34,39.22,37.36,41.43,,,
,,United Arab Emirates, 677 , 519 , 520 , 606 ,,,,,," 1,093 ", 927 , 801 , 758 ,18.67,13.05,11.60,11.72,,,,,,12.21,10.25,8.82,8.28
,,Yemen,,, 714 , 717 ," 1,016 "," 1,220 "," 1,012 ",,,,,,,,,3.48,3.40,4.68,5.47,4.41,,,,,,
,,Azerbaijan*, 80 , 95 , 124 , 117 , 137 , 211 , 21 , 36 , 31 , 40 , 44 , 63 ,,0.96,1.12,1.45,1.35,1.56,2.38,0.23,0.40,0.34,0.43,0.46,0.65,
Europe,Eastern Europe,Belarus," 1,787 "," 1,771 "," 1,420 "," 1,560 "," 1,560 "," 1,493 "," 1,229 ", 932 , 824 , 709 , 620 , 570 ,,18.31,18.27,14.73,16.26,16.32,15.67,12.93,9.82,8.68,7.47,6.53,6.00,
,,Bulgaria," 8,897 "," 7,708 "," 5,904 "," 5,102 "," 4,569 "," 4,620 "," 4,470 "," 3,938 "," 3,234 "," 3,082 "," 3,583 "," 3,721 "," 4,023 ",113.99,99.55,76.85,66.91,60.37,61.49,59.92,53.16,43.97,42.20,49.40,51.67,56.27
,,Czech Republic," 25,331 "," 24,230 "," 23,040 "," 20,996 "," 20,392 "," 18,793 "," 14,770 "," 13,109 "," 12,393 "," 11,127 "," 10,736 "," 8,720 "," 6,886 ",248.06,237.27,225.20,204.41,197.40,180.74,141.20,124.77,117.65,105.52,101.81,82.71,65.31
,,Hungary," 12,527 "," 9,053 "," 8,961 "," 8,406 "," 8,501 "," 7,982 "," 8,015 "," 6,715 "," 7,051 "," 7,740 "," 5,692 "," 4,803 ",,123.52,89.48,88.76,83.41,84.47,79.42,79.87,67.05,70.59,77.72,57.35,48.57,
,,Poland," 54,291 "," 51,150 "," 45,292 "," 30,529 "," 21,284 "," 17,669 "," 17,271 "," 16,539 "," 16,575 "," 16,230 "," 15,596 "," 13,505 "," 12,634 ",141.19,133.01,117.75,79.34,55.28,45.86,44.80,42.88,42.95,42.04,40.38,34.97,32.72
,,Republic of Moldova, 184 , 191 , 105 , 83 , 105 , 67 , 65 , 118 , 97 , 116 , 195 , 178 ,,4.41,4.58,2.53,2.00,2.54,1.63,1.59,2.89,2.38,2.85,4.79,4.37,
,,Russian Federation,," 71,205 "," 67,546 "," 64,535 "," 58,427 "," 52,820 "," 49,288 "," 47,587 "," 50,279 "," 52,953 "," 51,654 "," 50,175 "," 44,566 ",,49.43,47.03,45.02,40.81,36.91,34.44,33.24,35.11,36.96,36.03,34.98,31.07
,,Slovakia," 5,295 "," 6,000 "," 5,591 "," 5,525 "," 4,719 "," 4,135 "," 3,779 "," 3,354 "," 2,694 "," 2,546 "," 2,431 "," 2,297 "," 1,932 ",98.34,111.44,103.82,102.55,87.52,76.62,69.96,62.03,49.78,47.01,44.86,42.36,35.60
,,Ukraine," 7,013 "," 5,857 "," 6,197 "," 5,541 "," 5,436 "," 4,641 "," 5,184 "," 4,278 ",,,,,,14.77,12.43,13.24,11.92,11.75,10.08,11.31,9.37,,,,,
,,Romania*," 1,127 "," 1,120 "," 1,082 "," 1,266 "," 1,817 "," 2,355 "," 2,967 "," 2,531 "," 1,881 "," 1,627 "," 2,892 "," 5,428 "," 4,659 ",5.19,5.19,5.05,5.97,8.66,11.35,14.47,12.47,9.35,8.16,14.61,27.62,23.88
,Northern Europe,Denmark," 23,713 "," 20,789 "," 16,341 "," 15,312 "," 16,755 "," 18,826 "," 18,680 ", 552 , 456 , 335 , 288 , 284 , 230 ,440.52,385.08,301.62,281.43,306.48,342.58,338.18,9.94,8.18,5.98,5.12,5.03,4.06
,,Estonia, 460 , 628 ,,," 1,007 "," 1,035 ", 934 , 870 , 752 , 620 , 547 , 597 , 505 ,33.51,46.06,,,74.91,77.24,69.91,65.31,56.62,46.83,41.44,45.36,38.47
,,Finland," 21,922 "," 19,326 "," 16,791 "," 15,276 "," 14,827 "," 13,804 "," 12,188 "," 10,224 "," 11,038 "," 7,967 "," 7,216 "," 7,003 "," 6,725 ",420.46,369.60,320.05,290.05,280.32,259.76,228.22,190.47,204.57,146.87,132.33,127.80,122.20
,,Iceland, 385 , 438 , 325 , 462 , 421 , 386 , 475 , 53 , 55 , 45 , 31 , 58 , 69 ,132.84,149.45,109.52,153.55,137.85,124.50,151.11,16.66,17.13,13.91,9.53,17.72,20.95
,,Ireland," 12,339 "," 14,396 "," 14,199 "," 13,661 "," 13,531 "," 14,307 "," 13,129 "," 11,410 "," 10,393 "," 8,448 "," 7,368 "," 7,763 "," 6,449 ",305.35,349.44,337.77,318.15,308.32,319.34,288.00,247.11,223.38,180.98,157.73,166.05,137.55
,,Lithuania," 7,022 "," 6,330 "," 4,541 "," 3,460 "," 2,848 "," 2,553 "," 1,967 "," 2,060 "," 1,807 "," 1,724 "," 1,504 "," 1,255 "," 1,138 ",206.16,187.46,135.83,104.67,87.25,79.29,62.00,65.97,58.85,57.15,50.75,43.03,39.54
,,Norway," 20,130 "," 17,867 "," 15,350 "," 14,619 "," 12,571 "," 11,901 "," 12,014 "," 10,858 "," 9,318 "," 7,953 "," 6,634 "," 6,586 ",,441.36,389.32,331.94,313.23,266.53,249.41,248.72,221.99,188.09,158.48,130.50,127.93,
,,Sweden," 67,199 "," 60,980 "," 56,719 "," 51,639 "," 49,249 "," 44,717 "," 40,359 "," 33,759 "," 33,105 "," 27,534 "," 26,518 "," 26,720 "," 25,304 ",751.42,678.89,628.11,568.26,538.05,484.67,433.81,359.82,349.86,288.51,275.53,275.37,258.75
,,United Kingdom (England and Wales)," 291,858 "," 242,732 "," 214,182 "," 193,384 "," 170,038 "," 147,238 "," 117,684 "," 106,162 "," 92,056 "," 79,820 "," 75,308 "," 75,774 "," 82,047 ",552.10,456.68,399.78,358.44,312.64,268.48,213.06,190.62,163.89,141.11,132.24,131.99,
,,United Kingdom (Northern Ireland)," 6,150 "," 4,532 "," 4,124 "," 3,520 "," 3,285 "," 3,076 "," 2,936 "," 2,823 "," 2,412 "," 2,101 "," 2,121 "," 2,025 "," 1,698 ",360.72,264.40,238.69,201.94,186.47,172.89,163.72,156.41,132.94,115.21,115.92,110.02,
,,United Kingdom (Scotland)," 17,843 "," 15,633 "," 14,041 "," 15,000 "," 12,105 "," 11,551 "," 9,304 "," 8,716 "," 7,060 "," 5,731 "," 5,976 "," 5,423 ",,352.04,307.48,274.76,292.22,234.14,222.01,177.83,165.63,133.21,107.86,112.17,101.41,
,,Latvia*," 3,699 "," 3,266 "," 2,223 "," 2,336 "," 1,941 "," 2,205 "," 2,096 "," 1,441 ",, 910 ," 1,347 "," 1,323 "," 1,483 ",161.74,144.71,99.80,106.23,89.39,102.83,98.99,68.93,,44.67,66.95,66.50,75.26
,Southern Europe,Albania,,, 708 , 531 , 437 , 398 , 504 , 627 , 611 , 677 , 572 , 401 , 277 ,,,22.97,17.41,14.51,13.41,17.20,21.61,21.17,23.50,19.84,13.88,9.56
,,Andorra,,,,,,,,,,,, -   ,,,,,,,,,,,,,0.00,
,,Bosnia and Herzegovina,,," 2,321 "," 2,439 "," 2,088 "," 1,725 "," 1,738 "," 1,628 "," 1,091 "," 1,328 "," 1,376 "," 1,361 "," 1,278 ",,,60.55,63.54,54.37,44.92,45.29,42.45,28.47,34.69,35.99,35.65,33.54
,,Croatia," 2,338 "," 2,462 "," 2,274 "," 2,033 "," 2,069 "," 1,927 "," 1,828 "," 1,382 "," 1,315 "," 1,142 ", 866 , 633 , 760 ,53.25,56.15,51.94,46.54,47.49,44.36,42.21,32.02,30.57,26.64,20.27,14.87,17.92
,,Greece,," 17,478 "," 17,552 "," 20,216 "," 22,516 "," 23,550 "," 26,711 "," 27,587 "," 32,242 "," 31,166 "," 28,801 "," 24,986 "," 26,524 ",,158.20,158.56,182.16,202.28,210.99,238.93,246.81,289.09,280.53,260.52,227.13,242.13
,,Holy See,,,,,,, -   , -   , -   , -   , -   , -   , -   ,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
